huc12_id,year,incrunoff_mm/mo,incbsflow_mm/mo,soilmstfr_frac
070700010201,2010,26.141440032,19.378900494,0.619957813
070700010201,2011,22.090967009,18.373977357,0.562475801
070700010201,2012,13.934658376,10.664023304,0.518202212
070700010201,2013,21.179010021,16.469643992,0.59189807
070700010201,2014,28.088119011,21.807107712,0.629170382
070700010201,2015,27.708403884,21.310164535,0.633013502
070700010201,2016,34.912681188,27.611219929,0.65184213
070700010201,2017,32.263775438,26.54101676,0.662992655
070700010201,2018,42.14998946,25.200683635,0.586697028
070700010201,2019,34.461009137,26.916965278,0.639585881
070700010202,2010,33.254804722,29.974189766,0.748558676
070700010202,2011,28.588387168,26.746633137,0.673445444
070700010202,2012,20.702148525,19.172983555,0.622197385
070700010202,2013,29.805035437,27.386983551,0.717188742
070700010202,2014,38.003167091,33.232899967,0.751966702
070700010202,2015,34.072403665,30.633960847,0.759429091
070700010202,2016,41.392998637,37.782612131,0.782309965
070700010202,2017,40.194819655,37.368308215,0.810409333
070700010202,2018,51.965782901,37.799906372,0.700504293
070700010202,2019,44.758246904,40.21491862,0.763311812
070700010203,2010,30.402055866,23.86737801,0.672960597
070700010203,2011,24.621347429,20.905954798,0.606675269
070700010203,2012,17.517527614,14.017444725,0.55004097
070700010203,2013,24.939192846,20.386004244,0.648371819
070700010203,2014,31.576907963,25.649218209,0.691533949
070700010203,2015,27.49927243,22.651298546,0.648530187
070700010203,2016,34.390872264,28.535707105,0.696348697
070700010203,2017,34.2800556,28.656662754,0.722239654
070700010203,2018,39.558054094,28.304062649,0.636912589
070700010203,2019,37.744313631,31.669878001,0.697122805
070700010204,2010,36.797670802,33.672389317,0.757893807
070700010204,2011,22.195258103,21.265957464,0.697071564
070700010204,2012,10.925673575,10.114477029,0.63811922
070700010204,2013,25.493335687,24.254346503,0.742326975
070700010204,2014,37.582471757,35.259939434,0.797807461
070700010204,2015,25.422762704,24.249427977,0.715737476
070700010204,2016,32.99791815,31.613568608,0.774931268
