huc12_id,year,incrunoff_mm/mo,incbsflow_mm/mo,soilmstfr_frac
041000010301,2010,38.547169665,34.534583881,0.408946249
041000010301,2011,64.727105561,53.095435,0.441869005
041000010301,2012,36.978164842,33.245473863,0.395658835
041000010301,2013,47.176062854,41.276460598,0.421244728
041000010301,2014,39.356041291,33.786323114,0.423911526
041000010301,2015,43.582606777,38.051578802,0.420771598
041000010301,2016,45.487188814,38.195535934,0.415314519
041000010301,2017,45.1419852,39.131075749,0.415334003
041000010301,2018,52.369522825,43.944859938,0.438833475
041000010301,2019,50.55464151,43.662158354,0.433150876
041000010302,2010,25.692731916,24.941189081,0.47008593
041000010302,2011,45.268054122,40.212363566,0.512285324
041000010302,2012,24.219921476,23.587608958,0.437649989
041000010302,2013,30.125785961,28.727052318,0.485590212
041000010302,2014,25.493501864,23.332670838,0.488888546
041000010302,2015,26.751682398,25.766157299,0.485706481
041000010302,2016,29.092223437,27.289612334,0.46351604
041000010302,2017,30.358994042,29.002623769,0.474712884
041000010302,2018,33.997092574,32.018828087,0.51808587
041000010302,2019,31.658737175,29.857337174,0.506705121
041000010303,2010,6.337545622,4.01985277,0.461745749
041000010303,2011,17.444189859,9.687155982,0.559873174
041000010303,2012,9.648932467,7.087912286,0.48584749
041000010303,2013,8.688297753,5.183162151,0.524960347
041000010303,2014,8.502423041,4.427777304,0.510209335
041000010303,2015,7.152982253,4.12106447,0.489968468
041000010303,2016,9.933203292,5.432590966,0.484871912
041000010303,2017,7.838105949,4.510644484,0.505350455
041000010303,2018,12.256506369,6.482774442,0.569482591
041000010303,2019,13.365068285,9.005321873,0.594316966
041000010304,2010,7.975240935,2.17970137,0.532142321
041000010304,2011,24.864352653,4.950708141,0.604954238
041000010304,2012,11.881890591,4.242022332,0.552682825
041000010304,2013,13.342575393,2.392618063,0.587521195
041000010304,2014,10.15091533,1.85291474,0.579167363
041000010304,2015,10.3148632,1.777168619,0.558723323
041000010304,2016,12.384412759,2.168870484,0.540724917
041000010304,2017,11.769905182,1.551393564,0.554262924
041000010304,2018,17.912501914,3.174298699,0.634395006
041000010304,2019,17.481578823,5.025944321,0.651542533
041000010305,2010,7.321602513,5.884404739,0.426821557
041000010305,2011,15.781480355,10.232504443,0.498616107
041000010305,2012,7.41497097,5.744761609,0.411372921
041000010305,2013,5.90373161,4.221094014,0.45309149
041000010305,2014,5.436041493,3.68269942,0.451200022
041000010305,2015,4.597668808,3.301505782,0.422913947
041000010305,2016,5.733370737,4.443669435,0.398182942
041000010305,2017,5.844267132,4.399269249,0.415898788
041000010305,2018,6.932526868,5.005099908,0.492724536
041000010305,2019,7.733298833,6.044601544,0.497593572
041000010306,2010,20.782933524,16.028885008,0.48669124
041000010306,2011,44.379946008,27.688822018,0.561164385
041000010306,2012,24.323681856,18.340063383,0.502178283
041000010306,2013,28.04714291,19.644988891,0.52758906
041000010306,2014,22.481639965,15.942522008,0.521496081
041000010306,2015,24.178425613,17.069321985,0.505328687
041000010306,2016,27.426687351,19.463387801,0.50180315
041000010306,2017,27.594442757,19.265773822,0.50647556
041000010306,2018,33.684585229,22.498129742,0.566337446
041000010306,2019,32.162605705,22.906129421,0.563314168
041000010307,2010,30.15154661,24.822127676,0.459620321
041000010307,2011,60.809704457,45.710755962,0.566799565
041000010307,2012,35.860156027,29.671378443,0.493471716
041000010307,2013,41.186831247,32.738415753,0.509555092
041000010307,2014,35.575813964,28.473561609,0.505737384
041000010307,2015,39.653161323,31.298839696,0.505840126
041000010307,2016,44.151034526,35.145450948,0.509074623
041000010307,2017,41.630225742,33.031033396,0.510712449
041000010307,2018,48.598039094,37.572731512,0.54853985
041000010307,2019,47.614045155,37.630277296,0.533022161
041000010308,2010,36.1366522,28.367457087,0.536254014
041000010308,2011,62.725522186,45.869123976,0.590503779
041000010308,2012,36.575682715,28.807635393,0.54779747
041000010308,2013,44.1283904,33.994018527,0.560648056
041000010308,2014,39.528554859,30.596155953,0.560551282
041000010308,2015,43.467944225,33.353698762,0.556564716
041000010308,2016,43.012402805,33.121612918,0.558338369
041000010308,2017,44.248723694,34.183544636,0.558429646
041000010308,2018,51.567310512,38.627529771,0.580962579
041000010308,2019,49.842327014,37.951531862,0.573567217
041000010309,2010,34.521450071,27.476224643,0.446203123
041000010309,2011,63.850218286,47.646430219,0.47991404
041000010309,2012,35.090979551,28.030085278,0.446848324
041000010309,2013,43.767125554,34.239460423,0.463904035
041000010309,2014,38.579963171,30.432172355,0.467058858
041000010309,2015,42.598230911,33.178969967,0.461966315
041000010309,2016,39.509313644,30.321716132,0.457919546
041000010309,2017,42.914661703,33.335995631,0.459575666
041000010309,2018,48.991328397,36.885312016,0.473511986
041000010309,2019,47.251575644,36.589744116,0.470555691
041000020301,2010,18.718714722,3.860343719,0.350781049
041000020301,2011,34.565387542,6.78152769,0.397830097
041000020301,2012,14.891871375,3.5741328,0.346686366
041000020301,2013,26.628235779,4.768461972,0.385178147
041000020301,2014,19.976323436,5.084225207,0.389570027
041000020301,2015,17.327831521,3.82332439,0.370647169
041000020301,2016,18.41058845,4.174581265,0.377031389
041000020301,2017,19.494431995,3.728244829,0.372340184
041000020301,2018,25.115848081,5.405446171,0.399074895
041000020301,2019,22.480531066,4.855219062,0.398078041
041000020303,2010,15.789379229,2.605675931,0.382935884
041000020303,2011,30.310621393,5.229085074,0.428381949
041000020303,2012,11.549497171,2.3155421,0.373450449
041000020303,2013,22.518903238,3.342627063,0.415177194
041000020303,2014,15.834361196,3.720157375,0.418179529
041000020303,2015,12.171996548,2.534534996,0.399471876
041000020303,2016,14.243172907,2.89625145,0.405603942
041000020303,2017,16.195015743,2.40562368,0.40085674
041000020303,2018,18.510131739,3.906063771,0.425077953
041000020303,2019,17.805832478,3.401034887,0.428137107
041000020304,2010,13.605116516,2.552831421,0.401867663
041000020304,2011,24.249999963,5.241501537,0.452357555
041000020304,2012,10.555428035,2.366531451,0.404223627
041000020304,2013,18.802286383,3.311672451,0.44688466
041000020304,2014,13.287625671,3.543424926,0.447211094
041000020304,2015,11.253185567,2.505239668,0.427268771
041000020304,2016,12.127761608,2.805978933,0.427862503
041000020304,2017,13.064850043,2.237968601,0.425380902
041000020304,2018,17.344933217,3.874457619,0.45949551
041000020304,2019,16.077688264,3.404730362,0.459394929
041000030104,2010,16.316882929,3.486328324,0.596577023
041000030104,2011,36.917296761,8.010525428,0.664898895
041000030104,2012,14.208705308,3.22704385,0.59254701
041000030104,2013,24.567827814,4.583340211,0.624512717
041000030104,2014,26.421047472,7.068800107,0.652355175
041000030104,2015,26.34952345,5.704938315,0.643271808
041000030104,2016,31.142930335,5.25124845,0.663319426
041000030104,2017,31.089386509,5.245355035,0.664338699
041000030104,2018,33.137257025,5.795733294,0.673282755
041000030104,2019,31.962164176,5.650072405,0.681813363
041000030106,2010,21.791435819,6.996823441,0.585450316
041000030106,2011,41.499581103,11.415359165,0.660735602
041000030106,2012,18.406198167,7.432159008,0.589218588
041000030106,2013,33.34984609,9.377602902,0.631443133
041000030106,2014,33.221948734,9.936187438,0.658995475
041000030106,2015,28.639887007,8.757080462,0.631596213
041000030106,2016,40.646058356,11.136763086,0.662029794
041000030106,2017,37.011725246,9.866772913,0.656669939
041000030106,2018,41.968455335,11.912666449,0.671315169
041000030106,2019,39.558725026,10.814452849,0.680657003
041000030204,2010,22.831990438,7.659493687,0.561472418
041000030204,2011,40.023668486,11.587109916,0.641256327
041000030204,2012,19.994429754,8.716383008,0.571237836
041000030204,2013,35.291531617,10.569372497,0.61385248
041000030204,2014,32.859032152,9.562931431,0.64588745
041000030204,2015,26.588031832,8.865764875,0.605969279
041000030204,2016,38.055268705,11.867246291,0.639929556
041000030204,2017,37.400273632,10.75284039,0.638760657
041000030204,2018,43.030727069,13.648149837,0.653741696
041000030204,2019,39.038274011,11.548722289,0.660844766
041000030301,2010,17.851759768,8.756838065,0.52632517
041000030301,2011,32.703505668,12.402122434,0.607163888
041000030301,2012,16.002866054,9.528011613,0.538596188
041000030301,2013,28.714159807,11.493691728,0.588962664
041000030301,2014,24.818575784,10.662445261,0.624788293
041000030301,2015,20.839113639,9.856012509,0.57887944
041000030301,2016,28.790719346,13.097805986,0.619712824
041000030301,2017,28.574469048,11.962497582,0.61274189
041000030301,2018,33.479321968,14.905691901,0.63394859
041000030301,2019,29.89756213,12.901418906,0.641034579
041000030302,2010,19.4483267,9.779511432,0.496442412
041000030302,2011,35.310487375,14.069952828,0.578299545
041000030302,2012,14.908341925,8.839377227,0.498140836
041000030302,2013,26.621444617,11.722584305,0.549397281
041000030302,2014,27.392909311,13.310667297,0.573316102
041000030302,2015,20.487866032,10.684811878,0.537101862
041000030302,2016,31.452048004,15.788554851,0.575830815
041000030302,2017,26.747500227,12.822270502,0.560284696
041000030302,2018,30.116477783,14.501290197,0.579407908
041000030302,2019,31.019669902,14.953667249,0.593711881
041000030303,2010,14.806712436,1.897095756,0.500357244
041000030303,2011,27.521253087,3.822111978,0.545717669
041000030303,2012,10.507043613,1.871984075,0.475753125
041000030303,2013,20.366780147,2.3708795,0.537152649
041000030303,2014,20.572466509,5.601119391,0.552207457
041000030303,2015,14.527914202,2.262670019,0.511572841
041000030303,2016,21.628874761,2.564986341,0.557082923
041000030303,2017,21.29209929,2.628762373,0.540751866
041000030303,2018,22.707098723,2.823130617,0.555736178
041000030303,2019,25.113836882,3.089730027,0.5754961
041000030304,2010,27.328904412,9.122442935,0.529941984
041000030304,2011,41.004181179,13.498518779,0.588782255
041000030304,2012,21.064292729,8.644705797,0.525351855
041000030304,2013,34.089872431,11.375719875,0.579838821
041000030304,2014,36.667432776,13.238777822,0.599850844
041000030304,2015,27.156098176,10.071822243,0.563053929
041000030304,2016,40.137910595,13.47157048,0.600082514
041000030304,2017,33.661152572,11.505438195,0.581817563
041000030304,2018,37.239337661,13.015966721,0.598722185
041000030304,2019,43.13312516,13.611164523,0.622048951
041000030305,2010,17.741251366,1.762829317,0.518029958
041000030305,2011,31.917901913,3.932144295,0.547338012
041000030305,2012,12.196081617,1.684332536,0.465159546
041000030305,2013,21.91082992,2.104916586,0.536791205
041000030305,2014,23.493985596,5.512450983,0.553074621
