huc12_id,year,incrunoff_mm/mo,incbsflow_mm/mo,soilmstfr_frac
050100070310,2010,55.555943489,13.512648108,0.716567363
050100070310,2011,87.43310213,17.817990265,0.778838367
050100070310,2012,52.556657912,13.989718661,0.717732101
050100070310,2013,54.350860693,14.622023927,0.752750398
050100070310,2014,55.260117957,14.447118926,0.734020428
050100070310,2015,44.894367292,12.095422042,0.690336001
050100070310,2016,45.919349557,12.161604157,0.711115926
050100070310,2017,77.426141555,17.498671279,0.763876454
050100070310,2018,91.50963251,19.075122055,0.776394237
050100070310,2019,67.822854526,16.985292685,0.730211032
050100070401,2010,56.017637255,2.282808807,0.723144693
050100070401,2011,88.927048299,3.099976162,0.774524476
050100070401,2012,46.855818845,2.279145961,0.744227928
050100070401,2013,44.303583294,2.313721334,0.751030016
050100070401,2014,44.712913331,2.367404256,0.742688572
050100070401,2015,42.998078605,1.991467046,0.711811855
050100070401,2016,44.867544147,2.156305859,0.724481815
050100070401,2017,70.630352398,3.025393408,0.753306762
050100070401,2018,80.663116684,2.982168989,0.783032507
050100070401,2019,55.667313974,2.588672692,0.722522295
050100070402,2010,58.055831075,2.145454084,0.725464572
050100070402,2011,89.558132303,2.926901252,0.775462238
050100070402,2012,49.570937092,2.084798387,0.744832096
050100070402,2013,47.062846239,2.13351346,0.752796672
050100070402,2014,48.423203509,2.181773109,0.744560496
050100070402,2015,43.132786649,1.817365419,0.711133924
050100070402,2016,46.405928467,1.980895713,0.726264799
050100070402,2017,73.923263691,2.827731417,0.755355294
050100070402,2018,81.793134755,2.799987775,0.784468102
050100070402,2019,58.327394398,2.401383394,0.722292369
050100070501,2010,63.763761664,12.825453058,0.738443061
050100070501,2011,78.937894453,13.73539798,0.778554137
050100070501,2012,51.938073087,13.652897273,0.736055762
050100070501,2013,48.14754925,13.127242324,0.745501237
050100070501,2014,52.41312092,12.430495151,0.744484038
050100070501,2015,49.738840261,11.714669008,0.711983735
050100070501,2016,52.104470764,11.949578897,0.733328499
050100070501,2017,80.948094239,13.85054956,0.773267189
050100070501,2018,82.429612626,14.904838103,0.778092953
050100070501,2019,59.488250345,13.815596522,0.720737487
050100070502,2010,71.257405775,8.939670941,0.727386067
