huc12_id,year,incrunoff_mm/mo,incbsflow_mm/mo,soilmstfr_frac
071200060903,2010,29.695532138,15.149402115,0.405288828
071200060903,2011,23.441002034,12.027014494,0.414611612
071200060903,2012,11.010547006,6.139557541,0.32223186
071200060903,2013,28.081285168,12.519120218,0.387216897
071200060903,2014,10.505731192,6.975712691,0.376343454
071200060903,2015,15.744303856,7.82854611,0.396060326
071200060903,2016,20.868297271,10.790968271,0.400032758
071200060903,2017,22.607611698,11.228443542,0.389772476
071200060903,2018,38.614569935,15.531140617,0.42671596
071200060903,2019,33.873544488,15.654037836,0.442268665
071200060907,2010,37.315395442,14.37936121,0.460079204
071200060907,2011,30.42598451,14.514973502,0.483607403
071200060907,2012,14.984074385,8.072055919,0.388006283
071200060907,2013,32.973774724,13.811253493,0.46205239
071200060907,2014,17.887646712,9.297056014,0.44908421
071200060907,2015,21.076186807,8.938490041,0.455130663
071200060907,2016,26.815829042,12.156760157,0.471846255
071200060907,2017,31.708628156,13.837043472,0.476936665
071200060907,2018,35.912562624,13.86222797,0.495444255
071200060907,2019,38.610619277,15.705500807,0.51086122
071200061001,2010,31.552155054,22.890200225,0.406053345
071200061001,2011,28.520301836,23.163931032,0.406037167
071200061001,2012,15.33563806,12.858253911,0.340966959
071200061001,2013,28.605715167,21.610411443,0.393671909
071200061001,2014,19.152177112,14.810177557,0.381865876
071200061001,2015,21.061115604,17.516263483,0.396841749
071200061001,2016,28.831484173,23.123537328,0.401387212
071200061001,2017,26.401596449,20.476063645,0.393816252
071200061001,2018,40.903694902,28.213771971,0.433822322
071200061001,2019,37.820644758,28.64559407,0.434397579
071200061002,2010,43.367252427,25.640470224,0.40168629
071200061002,2011,36.903684273,23.98722628,0.397986275
071200061002,2012,22.968598266,15.450088025,0.353545673
071200061002,2013,35.814477559,22.317469684,0.383907281
071200061002,2014,29.599938631,18.19308609,0.381083862
071200061002,2015,29.716897077,18.940374452,0.389561242
071200061002,2016,39.151852255,24.52923885,0.402989238
071200061002,2017,35.127183556,22.3018603,0.392364157
071200061002,2018,49.091272876,27.624628496,0.410697586
071200061002,2019,45.937941961,29.081415238,0.409675097
071200061003,2010,33.440111231,21.64509455,0.377527741
071200061003,2011,28.79241177,20.966247087,0.388209534
071200061003,2012,15.827325541,12.475246451,0.315847936
071200061003,2013,29.291545098,19.537591607,0.36768758
071200061003,2014,19.080524332,14.024836654,0.363608333
071200061003,2015,19.231380305,14.783202413,0.36833545
071200061003,2016,27.940024957,20.345476327,0.379971619
071200061003,2017,27.411075301,19.431320777,0.378579965
071200061003,2018,37.371098014,23.596593134,0.393612406
071200061003,2019,37.237082946,25.762004489,0.403571644
071200061005,2010,46.646150473,32.882864856,0.319588112
071200061005,2011,45.234736547,35.056870438,0.317880419
071200061005,2012,26.054472155,21.77817046,0.258613097
071200061005,2013,42.995705309,32.590891542,0.298830448
071200061005,2014,29.486310914,23.834855476,0.297861022
071200061005,2015,35.035255748,27.420593675,0.303131091
071200061005,2016,40.31922644,32.366837104,0.314049574
071200061005,2017,42.990988892,32.822049473,0.315917701
071200061005,2018,46.646570788,34.839628906,0.319269233
071200061005,2019,54.602984972,40.103206441,0.322043172
071200061006,2010,32.901012686,19.624455936,0.385192774
071200061006,2011,27.378428074,19.015742401,0.398055924
071200061006,2012,14.616071363,11.329388406,0.324491353
071200061006,2013,27.653748009,17.46079613,0.377750045
071200061006,2014,18.211653017,13.087121585,0.372574597
071200061006,2015,19.452423469,13.858644393,0.379535436
071200061006,2016,25.655646629,17.987522452,0.388006619
071200061006,2017,26.805215924,18.047403872,0.392843998
071200061006,2018,33.720445821,20.65657971,0.401592786
071200061006,2019,34.880979367,22.709007844,0.409835357
